7 5 42 3
Gac4b
Gac7b
Gac14b
Gac9b
Gac10b
1   005006 013015 003003 004011      0
1   004011      0 003003 018018 013017
1   006006 011016      0      0      0
1   006006 001011 003004 006011 006015
1   004006 013016 003003 008016 006013
1   006011 011013 003003 006018      0
1   006006 011013 004004 006010 015023
1   006006 011013 004004      0      0
1   005005 011016 003003 004011      0
1   006006 012013 003003 003006 021025
1   006010 013013 003004 006010 018028
1   006009 010011 003003 006011 006014
1   004011 013013 003004 011011 006006
1   005008 013013 003003 003011 029038
1   006011 011015 003004 013013 022023
1   007011 001015 004004 011011 015023
1   004005 011014 003004 011017 015028
1   005006 011013 003005 006006 038042
1   004010 012016 003004      0 010012
1   005005 010015 003004 008015 023037
1   004010 010011 004005 003003 026034
1   006011      0 003003 003011 011020
1   004006 011014      0      0 006024
1   004008 015015 004004 003018 003020
1   006011 013018 003004 003007 019020
1   004004 002011 004004 011016 015016
1   002004 011011 003003 003003 012026
1   005010 002007 003004      0 036038
1   004010 010015 003003      0 012033
1   008009 013018 003004 008011 024038
1   008010 011013 003003 008013 022038
1   004008 002011 003003 011011 015029
1   004006      0 003003 009015 025034
1   007011 013014 003003 006006 010024
1   004009 001013 003003      0      0
1   004006 011013 003004 003011 015042
1   004011 013013 004004 006006 029029
1   004008 011013 003003      0 013021
1   004011 011013 003004 008008      0
1   002007 013014 004004 006006 010028
1   007007 007013 003003 011021 013013
1   004011 015016 003004 004004 012018
1   004007 001011 003004 006021      0
1   006010 011011 003003 002006 013015
1   004006 010011 003004 002011 015015
1   006006 011013 003004      0 023025
1   002007 012015      0 015015 026027
1   009010 014018      0 011018 020022
1   006010 007010 003003      0 020022
2   004005 013013 003004 011014 010018
2   007011 011011 003004 012012 008010
2   0 013013 004004      0 010010
2   005008 011013 003004 011011 017018
2   002008 011015 004004 011017 007015
2   004004 011013 004004 010011 010013
2   005009 011015 003004      0 010022
2   005006      0 003004      0      0
2   005010 011013 003003      0 010017
2   004010 013013 003003 003003 006029
2   004011 011012 003004 011011 012028
2   007008 005008 003003 006022 018023
2   002004 003013 003004 011021 002024
2   005007 014017 003003 014014 002022
2   008010 014015 003003 009009 028036
2   004010 011013 003003 014014 002010
2   006010 008010 003003 021022 010018
2   006007 013013 003003 013017 010014
2   006006 013013 003003      0      0
2   006006 001016 003003 004022 010013
2   002006 013015 003003      0 002010
2   005007 007007 003003 011016 010010
2   005005 011013 004004 003006 010017
2   005010 015015 003003 009009 010028
2   006009 011016 001003 006020 010017
2   004005 014014 003004 009016 010029
2   006010 008011 003003 011011 010010
2   005010 007008 003003 012012 015016
